Feature,Coefficient
existing_loans,1.3139673932407738
affordability_ratio,0.7135634440009744
combined_credit_risk,0.7114910077383835
debt_to_income_ratio,0.7111583974514182
monthly_salary,0.43906754727939956
groceries_utilities,0.37053193183790384
loan_affordability_index,0.21930815169265525
bank_balance,0.14840922662351785
travel_expenses,0.1338849492448273
emergency_fund,0.10090363440431227
credit_stability_score,0.07306785380558764
employment_type_Government,0.0593455290093042
education,0.04865733332169794
credit_score,0.030130574726844103
income_per_family_member,0.008623654566954185
dependents,0.0016530094726176928
family_size,0.0016530094726168278
company_type,0.0011015072974687127
marital_status_Married,0.0008679353160389418
emi_scenario,0.0006298162890372515
gender_FEMALE,0.0005861130654406624
school_fees,0.00020377006993312413
total_expenses,-0.00011842626576783648
requested_tenure,-0.000155413655758834
gender_MALE,-0.0005861130654428125
marital_status_Single,-0.0008679353160396631
age_group,-0.0051789264615175615
employment_type_Private,-0.007268085007484192
employment_tenure_category,-0.015963189072808318
house_type,-0.020448326501869677
is_long_term_employed,-0.05073566938285663
employment_type_Self-employed,-0.052077444001826366
savings_to_income_ratio,-0.061406185629091586
other_monthly_expenses,-0.09905067498562585
requested_amount,-0.18288540742563925
college_fees,-0.49148966272308436
monthly_rent,-0.513776831966907
credit_score_numeric,-0.6278459014081713
expense_to_income_ratio,-0.7141926438832886
current_emi_amount,-2.1992808881733272
